#planteary terms
#l F D Omega me ve ea ma ju sa ur ne general_precession long_sin long_cos obl_sin obl_cos

0 -2 2 0 0 5 -6 0 0 0 0 0 0 -10 233 0 0
0 -1 1 1 0 5 -7 0 0 0 0 0 0 -3 0 0 1
-2 0 2 0 0 6 -8 0 0 0 0 0 0 78 -18 0 0
2 1 -3 1 0 -6 7 0 0 0 0 0 0 0 3 1 0
0 0 0 2 0 0 0 0 1 0 0 0 0 0 -3 -1 0
0 -1 1 1 0 0 1 0 1 0 0 0 0 0 -4 -2 1
0 1 -1 1 0 0 -1 0 0 0 2 0 0 0 -8 -4 -1
0 0 0 0 0 0 0 0 0 0 2 0 1 0 -5 3 0
0 0 0 0 0 0 0 0 0 0 2 0 2 -7 0 0 3
0 0 0 0 0 0 -8 15 0 0 0 0 2 -14 8 3 6
0 0 0 0 0 0 -8 15 0 0 0 0 1 0 8 -4 0
0 1 -1 1 0 0 -9 15 0 0 0 0 0 0 19 10 0
0 0 0 0 0 0 8 -15 0 0 0 0 0 45 -22 0 0
1 -1 -1 0 0 0 8 -15 0 0 0 0 0 -3 0 0 0
2 0 -2 0 0 2 -5 0 0 0 0 0 0 0 -3 0 0
-2 0 2 0 0 0 2 0 -5 5 0 0 0 0 3 0 0
2 0 -2 1 0 0 -6 8 0 0 0 0 0 3 5 3 -2
2 0 -2 1 0 0 -2 0 3 0 0 0 0 89 -16 -9 -48
-2 1 1 0 0 0 1 0 -3 0 0 0 0 0 3 0 0
-2 1 1 1 0 0 1 0 -3 0 0 0 0 -3 7 4 2
-2 0 2 0 0 0 2 0 -3 0 0 0 0 -349 -62 0 0
-2 0 2 0 0 0 6 -8 0 0 0 0 0 -15 22 0 0
-2 0 2 0 0 0 2 0 -1 -5 0 0 0 -3 0 0 0
-1 0 1 0 0 0 1 0 -1 0 0 0 0 -53 0 0 0
-1 1 1 1 0 -20 20 0 0 0 0 0 0 5 0 0 -3
1 0 -2 0 0 20 -21 0 0 0 0 0 0 0 -8 0 0
0 0 0 1 0 0 8 -15 0 0 0 0 0 15 -7 -4 -8
0 2 -2 1 0 0 -10 15 0 0 0 0 0 -3 0 0 1
0 -1 1 0 0 0 1 0 1 0 0 0 0 -21 -78 0 0
0 0 0 1 0 0 0 0 1 0 0 0 0 20 -70 -37 -11
0 1 -1 2 0 0 -1 0 1 0 0 0 0 0 6 3 0
0 1 -1 1 0 0 -1 0 -2 4 0 0 0 5 3 2 -2
2 0 -2 1 0 -6 8 0 0 0 0 0 0 -17 -4 -2 9
0 -2 2 1 0 5 -6 0 0 0 0 0 0 0 6 3 0
0 0 0 0 0 0 0 0 0 -1 0 0 1 32 15 -8 17
0 1 -1 1 0 0 -1 0 0 -1 0 0 0 174 84 45 -93
0 0 0 0 0 0 0 0 0 1 0 0 0 11 56 0 0
0 1 -1 1 0 0 -1 0 0 1 0 0 0 -66 -12 -6 35
0 0 0 0 0 0 0 0 0 1 0 0 1 47 8 4 -25
0 0 0 0 0 0 0 0 0 1 0 0 2 0 8 4 0
0 2 -2 1 0 0 -9 13 0 0 0 0 0 10 -22 -12 -5
0 0 0 1 0 0 7 -13 0 0 0 0 0 -3 0 0 2
-2 0 2 0 0 0 5 -6 0 0 0 0 0 -24 12 0 0
0 0 0 0 0 0 9 -17 0 0 0 0 0 5 -6 0 0
0 0 0 0 0 0 -9 17 0 0 0 0 2 3 0 0 -2
1 0 -1 1 0 0 -3 4 0 0 0 0 0 4 3 1 -2
1 0 -1 1 0 -3 4 0 0 0 0 0 0 0 29 15 0
0 0 0 2 0 0 -1 2 0 0 0 0 0 -5 -4 -2 2
0 -1 1 1 0 0 0 2 0 0 0 0 0 8 -3 -1 -5
0 -2 2 0 1 0 -2 0 0 0 0 0 0 0 -3 0 0
0 0 0 0 0 3 -5 0 2 0 0 0 0 10 0 0 0
-2 0 2 1 0 0 2 0 -3 1 0 0 0 3 0 0 -2
-2 0 2 1 0 3 -3 0 0 0 0 0 0 -5 0 0 3
0 0 0 1 0 8 -13 0 0 0 0 0 0 46 66 35 -25
0 -1 1 0 0 8 -12 0 0 0 0 0 0 -14 7 0 0
0 2 -2 1 0 -8 11 0 0 0 0 0 0 0 3 2 0
-1 0 1 0 0 0 2 -2 0 0 0 0 0 -5 0 0 0
-1 0 0 1 0 18 -16 0 0 0 0 0 0 -68 -34 -18 36
0 1 -1 1 0 0 -1 0 -1 1 0 0 0 0 14 7 0
0 0 0 1 0 3 -7 4 0 0 0 0 0 10 -6 -3 -5
-2 1 1 1 0 0 -3 7 0 0 0 0 0 -5 -4 -2 3
0 1 -1 2 0 0 -1 0 -2 5 0 0 0 -3 5 2 1
0 0 0 1 0 0 0 0 -2 5 0 0 0 76 17 9 -41
0 0 0 1 0 0 -4 8 -3 0 0 0 0 84 298 159 -45
1 0 0 1 0 -10 3 0 0 0 0 0 0 3 0 0 -1
0 2 -2 1 0 0 -2 0 0 0 0 0 0 -3 0 0 2
-1 0 0 1 0 10 -3 0 0 0 0 0 0 -3 0 0 1
0 0 0 1 0 0 4 -8 3 0 0 0 0 -82 292 156 44
0 0 0 1 0 0 0 0 2 -5 0 0 0 -73 17 9 39
0 -1 1 0 0 0 1 0 2 -5 0 0 0 -9 -16 0 0
2 -1 -1 1 0 0 3 -7 0 0 0 0 0 3 0 -1 -2
-2 0 2 0 0 0 2 0 0 -5 0 0 0 -3 0 0 0
0 0 0 1 0 -3 7 -4 0 0 0 0 0 -9 -5 -3 5
-2 0 2 0 0 0 2 0 -2 0 0 0 0 -439 0 0 0
1 0 0 1 0 -18 16 0 0 0 0 0 0 57 -28 -15 -30
-2 1 1 1 0 0 1 0 -2 0 0 0 0 0 -6 -3 0
0 1 -1 2 0 -8 12 0 0 0 0 0 0 -4 0 0 2
0 0 0 1 0 -8 13 0 0 0 0 0 0 -40 57 30 21
0 0 0 0 0 0 1 -2 0 0 0 0 1 23 7 3 -13
0 1 -1 1 0 0 0 -2 0 0 0 0 0 273 80 43 -146
0 0 0 0 0 0 1 -2 0 0 0 0 0 -449 430 0 0
0 1 -1 1 0 0 -2 2 0 0 0 0 0 -8 -47 -25 4
0 0 0 0 0 0 -1 2 0 0 0 0 1 6 47 25 -3
-1 0 1 1 0 3 -4 0 0 0 0 0 0 0 23 13 0
-1 0 1 1 0 0 3 -4 0 0 0 0 0 -3 0 0 2
0 1 -1 1 0 0 -1 0 0 -2 0 0 0 3 -4 -2 -2
0 1 -1 1 0 0 -1 0 0 2 0 0 0 -48 -110 -59 26
0 0 0 0 0 0 0 0 0 2 0 0 1 51 114 61 -27
0 0 0 0 0 0 0 0 0 2 0 0 2 -133 0 0 57
0 1 -1 0 0 3 -6 0 0 0 0 0 0 0 4 0 0
0 0 0 1 0 -3 5 0 0 0 0 0 0 -21 -6 -3 11
0 1 -1 2 0 -3 4 0 0 0 0 0 0 0 -3 -1 0
0 0 0 1 0 0 -2 4 0 0 0 0 0 -11 -21 -11 6
0 2 -2 1 0 -5 6 0 0 0 0 0 0 -18 -436 -233 9
0 -1 1 0 0 5 -7 0 0 0 0 0 0 35 -7 0 0
0 0 0 1 0 5 -8 0 0 0 0 0 0 0 5 3 0
-2 0 2 1 0 6 -8 0 0 0 0 0 0 11 -3 -1 -6
0 0 0 1 0 0 -8 15 0 0 0 0 0 -5 -3 -1 3
-2 0 2 1 0 0 2 0 -3 0 0 0 0 -53 -9 -5 28
-2 0 2 1 0 0 6 -8 0 0 0 0 0 0 3 2 1
1 0 -1 1 0 0 -1 0 1 0 0 0 0 4 0 0 -2
0 0 0 0 0 0 0 0 3 -5 0 0 0 0 -4 0 0
0 1 -1 1 0 0 -1 0 -1 0 0 0 0 -50 194 103 27
0 0 0 0 0 0 0 0 -1 0 0 0 1 -13 52 28 7
0 0 0 0 0 0 0 0 1 0 0 0 0 -91 248 0 0
0 0 0 0 0 0 0 0 1 0 0 0 1 6 49 26 -3
0 1 -1 1 0 0 -1 0 1 0 0 0 0 -6 -47 -25 3
0 0 0 0 0 0 0 0 1 0 0 0 1 0 5 3 0
0 0 0 0 0 0 0 0 1 0 0 0 2 52 23 10 -23
0 1 -1 2 0 0 -1 0 0 -1 0 0 0 -3 0 0 1
0 0 0 1 0 0 0 0 0 -1 0 0 0 0 5 3 0
0 -1 1 0 0 0 1 0 0 -1 0 0 0 -4 0 0 0
0 0 0 0 0 0 -7 13 0 0 0 0 2 -4 8 3 2
0 0 0 0 0 0 7 -13 0 0 0 0 0 10 0 0 0
2 0 -2 1 0 0 -5 6 0 0 0 0 0 3 0 0 -2
0 2 -2 1 0 0 -8 11 0 0 0 0 0 0 8 4 0
0 2 -2 1 -1 0 2 0 0 0 0 0 0 0 8 4 1
-2 0 2 0 0 0 4 -4 0 0 0 0 0 -4 0 0 0
0 0 0 0 0 0 0 0 2 -2 0 0 0 -4 0 0 0
0 1 -1 1 0 0 -1 0 0 3 0 0 0 -8 4 2 4
0 0 0 0 0 0 0 0 0 3 0 0 1 8 -4 -2 -4
0 0 0 0 0 0 0 0 0 3 0 0 2 0 15 7 0
-2 0 2 0 0 3 -3 0 0 0 0 0 0 -138 0 0 0
0 0 0 2 0 0 -4 8 -3 0 0 0 0 0 -7 -3 0
0 0 0 2 0 0 4 -8 3 0 0 0 0 0 -7 -3 0
2 0 -2 1 0 0 -2 0 2 0 0 0 0 54 0 0 -29
0 1 -1 2 0 0 -1 0 2 0 0 0 0 0 10 4 0
0 1 -1 2 0 0 0 -2 0 0 0 0 0 -7 0 0 3
0 0 0 1 0 0 1 -2 0 0 0 0 0 -37 35 19 20
0 -1 1 0 0 0 2 -2 0 0 0 0 0 0 4 0 0
0 -1 1 0 0 0 1 0 0 -2 0 0 0 -4 9 0 0
0 2 -2 1 0 0 -2 0 0 2 0 0 0 8 0 0 -4
0 1 -1 1 0 3 -6 0 0 0 0 0 0 -9 -14 -8 5
0 0 0 0 0 3 -5 0 0 0 0 0 1 -3 -9 -5 3
0 0 0 0 0 3 -5 0 0 0 0 0 0 -145 47 0 0
0 1 -1 1 0 -3 4 0 0 0 0 0 0 -10 40 21 5
0 0 0 0 0 -3 5 0 0 0 0 0 1 11 -49 -26 -7
0 0 0 0 0 -3 5 0 0 0 0 0 2 -2150 0 0 932
0 2 -2 2 0 -3 3 0 0 0 0 0 0 -12 0 0 5
0 0 0 0 0 -3 5 0 0 0 0 0 2 85 0 0 -37
0 0 0 0 0 0 2 -4 0 0 0 0 1 4 0 0 -2
0 1 -1 1 0 0 1 -4 0 0 0 0 0 3 0 0 -2
0 0 0 0 0 0 2 -4 0 0 0 0 0 -86 153 0 0
0 0 0 0 0 0 -2 4 0 0 0 0 1 -6 9 5 3
0 1 -1 1 0 0 -3 4 0 0 0 0 0 9 -13 -7 -5
0 0 0 0 0 0 -2 4 0 0 0 0 1 -8 12 6 4
0 0 0 0 0 0 -2 4 0 0 0 0 2 -51 0 0 22
0 0 0 0 0 -5 8 0 0 0 0 0 2 -11 -268 -116 5
0 2 -2 2 0 -5 6 0 0 0 0 0 0 0 12 5 0
0 0 0 0 0 -5 8 0 0 0 0 0 2 0 7 3 0
0 0 0 0 0 -5 8 0 0 0 0 0 1 31 6 3 -17
0 1 -1 1 0 -5 7 0 0 0 0 0 0 140 27 14 -75
0 0 0 0 0 -5 8 0 0 0 0 0 1 57 11 6 -30
0 0 0 0 0 5 -8 0 0 0 0 0 0 -14 -39 0 0
0 1 -1 2 0 0 -1 0 -1 0 0 0 0 0 -6 -2 0
0 0 0 1 0 0 0 0 -1 0 0 0 0 4 15 8 -2
0 -1 1 0 0 0 1 0 -1 0 0 0 0 0 4 0 0
0 2 -2 1 0 0 -2 0 1 0 0 0 0 -3 0 0 1
0 0 0 0 0 0 -6 11 0 0 0 0 2 0 11 5 0
0 0 0 0 0 0 6 -11 0 0 0 0 0 9 6 0 0
0 0 0 0 -1 0 4 0 0 0 0 0 2 -4 10 4 2
0 0 0 0 1 0 -4 0 0 0 0 0 0 5 3 0 0
2 0 -2 1 0 -3 3 0 0 0 0 0 0 16 0 0 -9
-2 0 2 0 0 0 2 0 0 -2 0 0 0 -3 0 0 0
0 2 -2 1 0 0 -7 9 0 0 0 0 0 0 3 2 -1
0 0 0 0 0 0 0 0 4 -5 0 0 2 7 0 0 -3
0 0 0 0 0 0 0 0 2 0 0 0 0 -25 22 0 0
0 0 0 0 0 0 0 0 2 0 0 0 1 42 223 119 -22
0 1 -1 1 0 0 -1 0 2 0 0 0 0 -27 -143 -77 14
0 0 0 0 0 0 0 0 2 0 0 0 1 9 49 26 -5
0 0 0 0 0 0 0 0 2 0 0 0 2 -1166 0 0 505
0 2 -2 2 0 0 -2 0 2 0 0 0 0 -5 0 0 2
0 0 0 0 0 0 0 0 0 5 0 0 2 -6 0 0 3
0 0 0 1 0 3 -5 0 0 0 0 0 0 -8 0 1 4
0 -1 1 0 0 3 -4 0 0 0 0 0 0 0 -4 0 0
0 2 -2 1 0 -3 3 0 0 0 0 0 0 117 0 0 -63
0 0 0 1 0 0 2 -4 0 0 0 0 0 -4 8 4 2
0 2 -2 1 0 0 -4 4 0 0 0 0 0 3 0 0 -2
0 1 -1 2 0 -5 7 0 0 0 0 0 0 -5 0 0 2
0 0 0 0 0 0 3 -6 0 0 0 0 0 0 31 0 0
0 0 0 0 0 0 -3 6 0 0 0 0 1 -5 0 1 3
0 1 -1 1 0 0 -4 6 0 0 0 0 0 4 0 0 -2
0 0 0 0 0 0 -3 6 0 0 0 0 1 -4 0 0 2
0 0 0 0 0 0 -3 6 0 0 0 0 2 -24 -13 -6 10
0 -1 1 0 0 2 -2 0 0 0 0 0 0 3 0 0 0
0 0 0 1 0 2 -3 0 0 0 0 0 0 0 -32 -17 0
0 0 0 0 0 0 -5 9 0 0 0 0 2 8 12 5 -3
0 0 0 0 0 0 -5 9 0 0 0 0 1 3 0 0 -1
0 0 0 0 0 0 5 -9 0 0 0 0 0 7 13 0 0
0 -1 1 0 0 0 1 0 -2 0 0 0 0 -3 16 0 0
0 2 -2 1 0 0 -2 0 2 0 0 0 0 50 0 0 -27
-2 1 1 1 0 0 1 0 0 0 0 0 0 0 -5 -3 0
0 -2 2 0 0 3 -3 0 0 0 0 0 0 13 0 0 0
0 0 0 0 0 -6 10 0 0 0 0 0 1 0 5 3 1
0 0 0 0 0 -6 10 0 0 0 0 0 2 24 5 2 -11
0 0 0 0 0 -2 3 0 0 0 0 0 2 5 -11 -5 -2
0 0 0 0 0 -2 3 0 0 0 0 0 1 30 -3 -2 -16
0 1 -1 1 0 -2 2 0 0 0 0 0 0 18 0 0 -9
0 0 0 0 0 2 -3 0 0 0 0 0 0 8 614 0 0
0 0 0 0 0 2 -3 0 0 0 0 0 1 3 -3 -1 -2
0 0 0 0 0 0 0 0 3 0 0 0 1 6 17 9 -3
0 1 -1 1 0 0 -1 0 3 0 0 0 0 -3 -9 -5 2
0 0 0 0 0 0 0 0 3 0 0 0 1 0 6 3 -1
0 0 0 0 0 0 0 0 3 0 0 0 2 -127 21 9 55
0 0 0 0 0 0 4 -8 0 0 0 0 0 3 5 0 0
0 0 0 0 0 0 -4 8 0 0 0 0 2 -6 -10 -4 3
0 -2 2 0 0 0 2 0 -2 0 0 0 0 5 0 0 0
0 0 0 0 0 0 -4 7 0 0 0 0 2 16 9 4 -7
0 0 0 0 0 0 -4 7 0 0 0 0 1 3 0 0 -2
0 0 0 0 0 0 4 -7 0 0 0 0 0 0 22 0 0
0 0 0 1 0 -2 3 0 0 0 0 0 0 0 19 10 0
0 2 -2 1 0 0 -2 0 3 0 0 0 0 7 0 0 -4
0 0 0 0 0 0 -5 10 0 0 0 0 2 0 -5 -2 0
0 0 0 1 0 -1 2 0 0 0 0 0 0 0 3 1 0
0 0 0 0 0 0 0 0 4 0 0 0 2 -9 3 1 4
0 0 0 0 0 0 -3 5 0 0 0 0 2 17 0 0 -7
0 0 0 0 0 0 -3 5 0 0 0 0 1 0 -3 -2 -1
0 0 0 0 0 0 3 -5 0 0 0 0 0 -20 34 0 0
0 0 0 0 0 1 -2 0 0 0 0 0 1 -10 0 1 5
0 1 -1 1 0 1 -3 0 0 0 0 0 0 -4 0 0 2
0 0 0 0 0 1 -2 0 0 0 0 0 0 22 -87 0 0
0 0 0 0 0 -1 2 0 0 0 0 0 1 -4 0 0 2
0 0 0 0 0 -1 2 0 0 0 0 0 2 -3 -6 -2 1
0 0 0 0 0 -7 11 0 0 0 0 0 2 -16 -3 -1 7
0 0 0 0 0 -7 11 0 0 0 0 0 1 0 -3 -2 0
0 -2 2 0 0 4 -4 0 0 0 0 0 0 4 0 0 0
0 0 0 0 0 0 2 -3 0 0 0 0 0 -68 39 0 0
0 2 -2 1 0 -4 4 0 0 0 0 0 0 27 0 0 -14
0 -1 1 0 0 4 -5 0 0 0 0 0 0 0 -4 0 0
0 0 0 0 0 0 1 -1 0 0 0 0 0 -25 0 0 0
0 0 0 0 0 -4 7 0 0 0 0 0 1 -12 -3 -2 6
0 1 -1 1 0 -4 6 0 0 0 0 0 0 3 0 0 -1
0 0 0 0 0 -4 7 0 0 0 0 0 2 3 66 29 -1
0 0 0 0 0 -4 6 0 0 0 0 0 2 490 0 0 -213
0 0 0 0 0 -4 6 0 0 0 0 0 1 -22 93 49 12
0 1 -1 1 0 -4 5 0 0 0 0 0 0 -7 28 15 4
0 0 0 0 0 -4 6 0 0 0 0 0 1 -3 13 7 2
0 0 0 0 0 4 -6 0 0 0 0 0 0 -46 14 0 0
-2 0 2 0 0 2 -2 0 0 0 0 0 0 -5 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0
0 -1 1 0 0 1 0 0 0 0 0 0 0 0 -3 0 0
0 0 0 1 0 1 -1 0 0 0 0 0 0 -28 0 0 15
0 0 0 0 0 0 -1 0 5 0 0 0 2 5 0 0 -2
0 0 0 0 0 0 1 -3 0 0 0 0 0 0 3 0 0
0 0 0 0 0 0 -1 3 0 0 0 0 2 -11 0 0 5
0 0 0 0 0 0 -7 12 0 0 0 0 2 0 3 1 0
0 0 0 0 0 -1 1 0 0 0 0 0 2 -3 0 0 1
0 0 0 0 0 -1 1 0 0 0 0 0 1 25 106 57 -13
0 1 -1 1 0 -1 0 0 0 0 0 0 0 5 21 11 -3
0 0 0 0 0 1 -1 0 0 0 0 0 0 1485 0 0 0
0 0 0 0 0 1 -1 0 0 0 0 0 1 -7 -32 -17 4
0 1 -1 1 0 1 -2 0 0 0 0 0 0 0 5 3 0
0 0 0 0 0 0 -2 5 0 0 0 0 2 -6 -3 -2 3
0 0 0 0 0 0 -1 0 4 0 0 0 2 30 -6 -2 -13
0 0 0 0 0 0 1 0 -4 0 0 0 0 -4 4 0 0
0 0 0 1 0 -1 1 0 0 0 0 0 0 -19 0 0 10
0 0 0 0 0 0 -6 10 0 0 0 0 2 0 4 2 -1
0 0 0 0 0 0 -6 10 0 0 0 0 0 0 3 0 0
0 2 -2 1 0 0 -3 0 3 0 0 0 0 4 0 0 -2
0 0 0 0 0 0 -3 7 0 0 0 0 2 0 -3 -1 0
-2 0 2 0 0 4 -4 0 0 0 0 0 0 -3 0 0 0
0 0 0 0 0 0 -5 8 0 0 0 0 2 5 3 1 -2
0 0 0 0 0 0 5 -8 0 0 0 0 0 0 11 0 0
0 0 0 0 0 0 -1 0 3 0 0 0 2 118 0 0 -52
0 0 0 0 0 0 -1 0 3 0 0 0 1 0 -5 -3 0
0 0 0 0 0 0 1 0 -3 0 0 0 0 -28 36 0 0
0 0 0 0 0 2 -4 0 0 0 0 0 0 5 -5 0 0
0 0 0 0 0 -2 4 0 0 0 0 0 1 14 -59 -31 -8
0 1 -1 1 0 -2 3 0 0 0 0 0 0 0 9 5 1
0 0 0 0 0 -2 4 0 0 0 0 0 2 -458 0 0 198
0 0 0 0 0 -6 9 0 0 0 0 0 2 0 -45 -20 0
0 0 0 0 0 -6 9 0 0 0 0 0 1 9 0 0 -5
0 0 0 0 0 6 -9 0 0 0 0 0 0 0 -3 0 0
0 0 0 1 0 0 1 0 -2 0 0 0 0 0 -4 -2 -1
0 2 -2 1 0 -2 2 0 0 0 0 0 0 11 0 0 -6
0 0 0 0 0 0 -4 6 0 0 0 0 2 6 0 0 -2
0 0 0 0 0 0 4 -6 0 0 0 0 0 -16 23 0 0
0 0 0 1 0 3 -4 0 0 0 0 0 0 0 -4 -2 0
0 0 0 0 0 0 -1 0 2 0 0 0 2 -5 0 0 2
0 0 0 0 0 0 1 0 -2 0 0 0 0 -166 269 0 0
0 0 0 1 0 0 1 0 -1 0 0 0 0 15 0 0 -8
0 0 0 0 0 -5 9 0 0 0 0 0 2 10 0 0 -4
0 0 0 0 0 0 3 -4 0 0 0 0 0 -78 45 0 0
0 0 0 0 0 -3 4 0 0 0 0 0 2 0 -5 -2 0
0 0 0 0 0 -3 4 0 0 0 0 0 1 7 0 0 -4
0 0 0 0 0 3 -4 0 0 0 0 0 0 -5 328 0 0
0 0 0 0 0 3 -4 0 0 0 0 0 1 3 0 0 -2
0 0 0 1 0 0 2 -2 0 0 0 0 0 5 0 0 -2
0 0 0 1 0 0 -1 0 2 0 0 0 0 0 3 1 0
0 0 0 0 0 0 1 0 0 -3 0 0 0 -3 0 0 0
0 0 0 0 0 0 1 0 1 -5 0 0 0 -3 0 0 0
0 0 0 0 0 0 -1 0 1 0 0 0 1 0 -4 -2 0
0 0 0 0 0 0 1 0 -1 0 0 0 0 -1223 -26 0 0
0 0 0 0 0 0 1 0 -1 0 0 0 1 0 7 3 0
0 0 0 0 0 0 1 0 -3 5 0 0 0 3 0 0 0
0 0 0 1 0 -3 4 0 0 0 0 0 0 0 3 2 0
0 0 0 0 0 0 1 0 0 -2 0 0 0 -6 20 0 0
0 0 0 0 0 0 2 -2 0 0 0 0 0 -368 0 0 0
0 0 0 0 0 0 1 0 0 -1 0 0 0 -75 0 0 0
0 0 0 1 0 0 -1 0 1 0 0 0 0 11 0 0 -6
0 0 0 1 0 0 -2 2 0 0 0 0 0 3 0 0 -2
0 0 0 0 0 -8 14 0 0 0 0 0 2 -3 0 0 1
0 0 0 0 0 0 1 0 2 -5 0 0 0 -13 -30 0 0
0 0 0 0 0 0 5 -8 3 0 0 0 0 21 3 0 0
0 0 0 0 0 0 5 -8 3 0 0 0 2 -3 0 0 1
0 0 0 0 0 0 -1 0 0 0 0 0 1 -4 0 0 2
0 0 0 0 0 0 1 0 0 0 0 0 0 8 -27 0 0
